Game Title,Genre,Release Date,Platform
Super Mario Odyssey,Platformer,2017-10-27,Nintendo Switch
The Legend of Zelda: Breath of the Wild,Action-Adventure,2017-03-03,Nintendo Switch
Celeste,Platformer,2018-01-25,Nintendo Switch
Hollow Knight,Metroidvania,2017-02-24,Nintendo Switch
Undertale,Role-Playing,2015-09-15,Multiple
